"","x"
"V1",-0.000758895248038697
"V2",-0.00416051935678079
"V3",-0.000400260055821566
"V4",-0.000262129295462111
"V5",1.55994104104488e-08
"V6",1.55800773522911e-08
"V7",1.55339564891673e-08
"V8",1.54551610934294e-08
"V9",1.54841637154975e-08
"V10",1.55649085554056e-08
"V11",1.56136415230956e-08
"V12",1.57552483131614e-08
"V13",1.58398229937572e-08
"V14",1.57305866363991e-08
"V15",1.55760098284864e-08
"V16",1.56621032609561e-08
"V17",1.58829938438589e-08
"V18",1.59102867525316e-08
"V19",1.57163955182202e-08
"V20",1.54701248460156e-08
"V21",1.53532704260158e-08
"V22",1.53445545505638e-08
"V23",1.54725202437315e-08
"V24",1.56065842685224e-08
"V25",1.56975304321639e-08
"V26",1.57427769725819e-08
"V27",1.56665454563461e-08
"V28",1.55588642520965e-08
"V29",1.54284826410552e-08
"V30",1.536039374459e-08
"V31",1.53891545520448e-08
"V32",1.5410782151586e-08
"V33",1.53760905247771e-08
"V34",1.53400812329036e-08
"V35",1.54520074857238e-08
"V36",1.55291663500822e-08
"V37",1.54817438072564e-08
"V38",1.54783724496436e-08
"V39",1.55488252996388e-08
"V40",1.54131166258045e-08
"V41",1.5194903792793e-08
"V42",1.51190559728138e-08
"V43",1.52414851522784e-08
"V44",1.52867093470411e-08
"V45",1.52220183038073e-08
"V46",1.52277784890175e-08
"V47",1.53374271271625e-08
"V48",1.53533153385994e-08
"V49",1.52666749369712e-08
"V50",1.52715566432365e-08
"V51",1.53773862389147e-08
"V52",1.5357758826684e-08
"V53",1.52197141599955e-08
"V54",1.51329061451094e-08
"V55",1.52072568616919e-08
"V56",1.53213328673084e-08
"V57",1.5344225367936e-08
"V58",1.52823798568046e-08
"V59",1.52872966066597e-08
"V60",1.53504290237666e-08
"V61",1.5387104292725e-08
"V62",1.53337568386018e-08
"V63",1.52812480840149e-08
"V64",1.52956329913314e-08
"V65",1.52451240828664e-08
"V66",1.52315014953022e-08
"V67",1.52736724835198e-08
"V68",1.53249092105907e-08
"V69",1.52800845675279e-08
"V70",1.52759543117466e-08
"V71",1.53440889886183e-08
"V72",1.53046398766231e-08
"V73",1.52670999277698e-08
"V74",1.52299684951745e-08
"V75",1.53401970442451e-08
"V76",1.53943777968865e-08
"V77",1.53149863928471e-08
"V78",1.52442719952874e-08
"V79",1.51812683081452e-08
"V80",1.51711210297906e-08
"V81",1.52107933935305e-08
"V82",1.52579931699592e-08
"V83",1.5323603307382e-08
"V84",1.53291978729706e-08
"V85",1.52334963507442e-08
"V86",1.52041415599592e-08
"V87",1.51968510242471e-08
"V88",1.51802926832834e-08
"V89",1.5164775202784e-08
"V90",1.52302253124365e-08
"V91",1.52884271988532e-08
"V92",1.5246908759984e-08
"V93",1.52691657687138e-08
"V94",1.52974533342404e-08
"V95",1.52934248982434e-08
"V96",1.52069745496603e-08
"V97",1.51484002656634e-08
"V98",1.51573626600165e-08
"V99",1.52432578881645e-08
"V100",1.52980609130578e-08
"V101",1.52521430600017e-08
"V102",1.52481637986887e-08
"V103",1.52322076360857e-08
"V104",1.52133134889219e-08
"V105",1.51906734005456e-08
"V106",1.51680584057531e-08
"V107",1.51976485670787e-08
"V108",1.51546147280229e-08
"V109",1.51068934925841e-08
"V110",1.5113861426404e-08
"V111",1.51770533085128e-08
"V112",1.52251831254947e-08
"V113",1.52204819580742e-08
"V114",1.51546480122641e-08
"V115",1.51173386957031e-08
"V116",1.51135057472893e-08
"V117",1.50979063168342e-08
"V118",1.51103102788484e-08
"V119",1.51470903315871e-08
"V120",1.51547023670396e-08
"V121",1.50924554093986e-08
"V122",1.51134183310617e-08
"V123",1.51826395499739e-08
"V124",1.51700007596452e-08
"V125",1.51168440972617e-08
"V126",1.51265490996739e-08
"V127",1.51529426312675e-08
"V128",1.51160316830076e-08
"V129",1.50755931129322e-08
"V130",1.51103618552821e-08
"V131",1.51929103034325e-08
"V132",1.52437579376712e-08
"V133",1.51975384896256e-08
"V134",1.51739885847794e-08
"V135",1.51715643381157e-08
"V136",1.51363502414497e-08
"V137",1.51013990367268e-08
"V138",1.51362273077557e-08
"V139",1.51754652010615e-08
"V140",1.51947684075416e-08
"V141",1.50791164241052e-08
"V142",1.50986564736184e-08
"V143",1.51799160981551e-08
"V144",1.5145439784365e-08
"V145",1.50508378623518e-08
"V146",1.50142652365275e-08
"V147",1.50359990885607e-08
"V148",1.50700032389963e-08
"V149",1.51166207300742e-08
"V150",1.50344702704736e-08
"V151",1.49779856937879e-08
"V152",1.50588192697809e-08
"V153",1.50943348231854e-08
"V154",1.50885032373306e-08
"V155",1.50278332448637e-08
"V156",1.50477626876071e-08
"V157",1.50397996690927e-08
"V158",1.50219160550105e-08
"V159",1.50922859801476e-08
"V160",1.50751327581966e-08
"V161",1.50728137118189e-08
"V162",1.499436874393e-08
"V163",1.49600815857728e-08
"V164",1.50339460209484e-08
"V165",1.50667251133198e-08
"V166",1.50681319929871e-08
"V167",1.51105188693655e-08
"V168",1.51395210530393e-08
"V169",1.50605297694533e-08
"V170",1.49785252493192e-08
"V171",1.4983201061065e-08
"V172",1.51237957559664e-08
"V173",1.52250329262026e-08
"V174",1.50529392926167e-08
"V175",1.50420800483858e-08
"V176",1.50687572219424e-08
"V177",1.50142789395996e-08
"V178",1.49757245872115e-08
"V179",1.49558306168358e-08
"V180",1.50591699087745e-08
"V181",1.51354168501205e-08
"V182",1.51295902709698e-08
"V183",1.50464004057129e-08
"V184",1.49298011305997e-08
"V185",1.49359559413879e-08
"V186",1.50192936644857e-08
"V187",1.50628989759722e-08
"V188",1.49860285516672e-08
"V189",1.50189327880653e-08
"V190",1.50444550232365e-08
"V191",1.50741780716949e-08
"V192",1.50924198594756e-08
"V193",1.51108153761161e-08
"V194",1.51181792203407e-08
"V195",1.50381940196968e-08
"V196",1.49441404008498e-08
"V197",1.49442435360444e-08
"V198",1.50368962567782e-08
"V199",1.50226195073125e-08
"V200",1.49962872159062e-08
"V201",1.50074323910833e-08
"V202",1.50498978659952e-08
"V203",1.50479316538607e-08
"V204",1.50350892234681e-08
"V205",1.50571286785807e-08
"V206",1.50494471161624e-08
"V207",1.50359888409836e-08
"V208",1.50002285656861e-08
"V209",1.49647226742349e-08
"V210",1.49938113658021e-08
"V211",1.50049400071246e-08
"V212",1.50055416043368e-08
"V213",1.49839533669122e-08
"V214",1.49196275150456e-08
"V215",1.49548830368112e-08
"V216",1.49607518236782e-08
"V217",1.49191274453262e-08
"V218",1.49004546744908e-08
"V219",1.49624481569934e-08
"V220",1.50117805014044e-08
"V221",1.50120853822122e-08
"V222",1.49277116740829e-08
"V223",1.48950568599531e-08
"V224",1.49937637912293e-08
"V225",1.49512409867868e-08
