"","x"
"V1",-8.06193142027208e-06
"V2",-1.53438477257576e-06
"V3",-2.92965808257592e-06
"V4",2.90480107761844e-07
"V5",0.000236024899839307
"V6",8.49546160558282e-05
"V7",-6.13969803858564e-07
"V8",8.34424725651808e-07
"V9",-2.30230721723363e-06
"V10",-2.40939100536424e-06
"V11",-6.01685836797064e-08
"V12",-3.11113549709459e-07
"V13",-1.06354315253808e-05
"V14",-3.8490682244153e-07
"V15",9.83641508577517e-09
"V16",3.25702931617108e-07
"V17",2.47948198916145e-07
"V18",4.64143995782031e-06
"V19",9.07932423738208e-06
"V20",4.60906430153737e-07
"V21",-8.4769928471669e-06
"V22",-4.04879919027663e-07
"V23",-2.98452968814617e-07
"V24",-8.76039157913283e-06
"V25",3.40882775263114e-07
"V26",-3.76604574552044e-06
"V27",-5.25941813610795e-08
"V28",-2.1245673508888e-07
"V29",7.36948467869043e-07
"V30",1.04445420144313e-06
"V31",-8.02801803331187e-07
"V32",-1.61280378735375e-07
"V33",-1.7570994792424e-07
"V34",5.64211902781867e-08
"V35",-4.11397916326462e-07
"V36",3.3133234980286e-06
"V37",-3.98936165915349e-07
"V38",-1.84373774354939e-07
"V39",-1.39781681948977e-07
"V40",3.8381574016055e-07
"V41",-7.40980002808845e-08
"V42",-3.68336707377051e-06
"V43",-5.69937130114156e-07
"V44",3.86399444047222e-08
"V45",1.47291936387294e-07
"V46",3.05726763301908e-07
"V47",2.10112325668631e-07
"V48",-2.64685680581984e-08
"V49",6.88161389942512e-07
"V50",-4.4547225976891e-07
"V51",-1.40476121960758e-07
"V52",-4.11617386124315e-07
"V53",1.44187818907212e-08
"V54",1.13191371982336e-06
"V55",2.91305691925197e-08
"V56",-1.16364776759005e-07
"V57",4.77212032873732e-06
"V58",-1.56556604236027e-07
"V59",5.1035434705338e-08
"V60",-5.96530552622582e-08
"V61",2.10953613523056e-05
"V62",2.70574855856859e-08
"V63",1.23388714089517e-07
"V64",-2.4507297791627e-06
"V65",-7.20205768913218e-08
"V66",6.83108382455468e-08
"V67",-2.30169675701214e-08
"V68",4.48531570532951e-07
"V69",3.16499272758733e-08
"V70",-4.18622411981788e-09
"V71",-1.19053865434265e-07
"V72",1.71325509404608e-08
"V73",6.32320437966838e-08
"V74",8.86104672425982e-08
"V75",-9.82582562965532e-08
"V76",1.79094559231849e-07
"V77",-2.82054977328475e-08
"V78",-8.75915680361961e-09
"V79",-3.44008090780705e-08
"V80",3.34817013547831e-08
"V81",-2.68657896126656e-07
"V82",-4.80873245629578e-08
"V83",-2.72990935845043e-08
"V84",-4.58338616279737e-09
"V85",-1.72105461693017e-09
"V86",1.34142450515036e-09
"V87",1.9559339950823e-09
"V88",-1.01405358355783e-08
"V89",-2.97820539237074e-06
"V90",-5.46282180569349e-09
"V91",-3.53077940781305e-10
"V92",-4.65127268262734e-08
"V93",1.23168630529733e-08
"V94",-4.95896532220808e-07
"V95",9.10792853573316e-08
"V96",-2.31384387792741e-08
"V97",-1.64284977749638e-09
"V98",2.87809153980639e-08
"V99",1.36352361060947e-08
"V100",3.08389456810831e-08
"V101",3.54269141755243e-08
"V102",4.12306528382533e-07
"V103",1.74943080953922e-07
"V104",-4.10162769863779e-09
"V105",2.77556372749927e-07
"V106",7.68357372339108e-08
"V107",-6.20399943483284e-07
"V108",-6.48910208091743e-07
"V109",6.9027060753237e-10
"V110",-1.49643227713439e-07
"V111",6.04325637007211e-08
"V112",-9.11338783906884e-08
"V113",7.51074279469946e-09
"V114",4.87758004285897e-08
"V115",4.48048765935306e-08
"V116",7.41107145003006e-08
"V117",2.56886549277105e-08
"V118",-6.82262324068197e-08
"V119",6.22433626294271e-08
"V120",6.56423275101617e-09
"V121",4.94218050001676e-07
"V122",4.29306289010082e-07
"V123",1.19076568251437e-08
"V124",3.53061673608261e-08
"V125",-5.32809635661877e-07
"V126",4.58088028466802e-08
"V127",3.37084409863193e-07
"V128",-1.68418468076788e-06
"V129",-2.68791150781795e-07
"V130",5.46828449220935e-08
"V131",-1.16598446980658e-07
"V132",1.94904924053297e-07
"V133",4.68474684221477e-08
"V134",2.15856011071658e-07
"V135",7.29802962277676e-08
"V136",7.06518624229449e-08
"V137",-1.73419978950337e-07
"V138",-2.68934899110794e-05
"V139",-7.65184054382762e-09
"V140",3.5570561932847e-07
"V141",-6.08707179509139e-08
"V142",-1.71397478606632e-08
"V143",3.01353943992277e-07
"V144",1.52263437852785e-07
"V145",7.49490118150583e-08
"V146",7.33187083068258e-07
"V147",1.62267459993904e-07
"V148",1.41367753546711e-07
"V149",1.91948969294906e-07
"V150",5.54281734040132e-08
"V151",2.08353798928418e-07
"V152",6.51669827240267e-06
"V153",-8.04206232801708e-06
"V154",1.01908794467658e-07
"V155",1.2409152406039e-07
"V156",-1.22289302073661e-07
"V157",-4.51899798296137e-09
"V158",3.08459404239061e-07
"V159",-1.1542739164293e-08
"V160",1.5086530290863e-06
"V161",-1.5315966445606e-05
"V162",1.48315507530565e-07
"V163",1.10512430821602e-07
"V164",1.30938732464542e-07
"V165",8.84565364653555e-08
"V166",8.75550126145249e-08
"V167",-7.16385671459993e-07
"V168",2.26065662455567e-05
"V169",4.43831698073442e-06
"V170",-3.13987467359723e-07
"V171",2.3003211056537e-06
"V172",2.60358017558637e-07
"V173",-3.31199158054085e-07
"V174",5.40163812323909e-07
"V175",1.79415682755445e-07
"V176",1.10248994470392e-07
"V177",5.73930183791832e-08
"V178",-1.1628884005916e-07
"V179",2.45633981496807e-08
"V180",8.76957888159266e-08
"V181",2.71522484687937e-07
"V182",4.19389848431018e-08
"V183",2.38968635751918e-08
"V184",1.49173963221255e-07
"V185",4.7167426469815e-08
"V186",-2.6758881238436e-06
"V187",5.61717122339048e-08
"V188",7.17535320686424e-08
"V189",-8.34166144043714e-09
"V190",-9.35657789930048e-08
"V191",1.69099872151212e-06
"V192",4.27374254118006e-08
"V193",6.26054314896003e-08
"V194",6.48386412101955e-08
"V195",9.66416857387521e-07
"V196",6.82601229629958e-08
"V197",1.45927073512836e-07
"V198",3.83693343845642e-07
"V199",1.78753813260365e-07
"V200",1.0331497834642e-08
"V201",1.85240101141487e-07
"V202",1.54351804900982e-05
"V203",2.09531226471849e-07
"V204",-4.01830319575928e-08
"V205",1.33542750894331e-08
"V206",1.01068065765696e-06
"V207",1.84473710723232e-07
"V208",6.24309514775305e-08
"V209",1.38317669652235e-06
"V210",2.00888099758262e-08
"V211",3.97609444276731e-08
"V212",9.22177804631209e-07
"V213",-8.19093362103475e-07
"V214",2.27746042743521e-08
"V215",3.71759908225016e-07
"V216",1.55004618675236e-07
"V217",7.47243691572819e-08
"V218",8.53696559599212e-09
"V219",1.15272283889239e-07
"V220",9.93785531663271e-08
"V221",2.26106460031452e-06
"V222",8.56553575555955e-08
"V223",-5.10216543000734e-07
"V224",6.24030341708436e-07
"V225",3.16033143250014e-07
"V226",5.22926022752103e-08
"V227",1.05733005571999e-07
"V228",2.70858478157406e-08
"V229",1.91039395539957e-08
"V230",3.53306998451237e-06
"V231",7.28378026937693e-08
"V232",2.28885216174088e-08
"V233",8.83706746729812e-08
"V234",2.74418421518895e-08
"V235",3.10557395065055e-08
"V236",1.88826250215516e-07
"V237",5.12308585917476e-08
"V238",4.62441316473566e-08
"V239",1.54376502197768e-07
"V240",1.26104403103079e-07
"V241",3.32561889284053e-07
"V242",1.99392851848897e-07
"V243",4.07140530266264e-07
"V244",4.63565532683057e-08
"V245",-1.05434465183971e-06
"V246",1.28226058963352e-07
"V247",1.93166043991535e-07
"V248",1.86259880490193e-07
"V249",2.42943271149854e-07
"V250",-2.81651948226861e-06
"V251",-1.9947065761019e-07
"V252",1.49148259095356e-09
"V253",1.28635510040958e-06
"V254",-1.73337579055351e-07
"V255",2.65928598004226e-07
"V256",2.26769071709341e-07
"V257",6.80959338795425e-08
"V258",6.74017415045151e-07
"V259",3.95279940791954e-08
"V260",3.51741547671407e-07
"V261",4.26481210850052e-07
"V262",6.00137889664819e-08
"V263",5.15451475000743e-08
"V264",2.64458540217524e-07
"V265",5.77415887763596e-07
"V266",1.28221631531638e-07
"V267",5.4778547655117e-08
"V268",4.44040490605947e-08
"V269",1.05770235387227e-07
"V270",1.05327625057224e-07
"V271",1.72047548998116e-07
"V272",1.74914235871685e-07
"V273",5.42567011059538e-08
"V274",8.48511663965201e-08
"V275",2.97382789215376e-07
"V276",2.25545672982608e-07
"V277",4.48892571354927e-07
"V278",6.67057472468271e-08
"V279",5.17186011394092e-08
"V280",2.19648774687493e-08
"V281",4.20922344628969e-07
"V282",1.91683037854842e-07
"V283",1.66207727300777e-07
"V284",6.58738452814158e-06
"V285",-4.16812788073869e-08
"V286",1.04286406781742e-07
"V287",1.46203495174348e-07
"V288",7.01075285245248e-08
"V289",7.34055477520495e-07
"V290",5.1337994596807e-06
"V291",1.34713370110943e-07
"V292",1.94856962340844e-07
"V293",6.92399689240286e-08
"V294",4.05428448085345e-07
"V295",8.06727653770117e-08
"V296",-1.23600667225626e-06
"V297",1.17583549386893e-06
"V298",3.79578330101688e-07
"V299",2.90539297749418e-07
"V300",6.74883321688313e-08
"V301",1.01675905322659e-07
"V302",2.38556619099129e-07
"V303",9.90251977136142e-08
"V304",1.59544261537582e-07
"V305",1.73733413655978e-07
"V306",9.31166090912678e-08
"V307",5.01595497421094e-08
"V308",1.58814118533866e-07
"V309",1.19031291418473e-07
"V310",7.20416987154771e-08
"V311",7.7479159563113e-07
"V312",1.7201314511208e-07
"V313",1.64170586516625e-07
"V314",2.0062078996937e-08
"V315",3.18481685472141e-06
"V316",1.04164476649732e-07
"V317",8.0620674479474e-08
"V318",9.91321663163044e-08
"V319",1.49555635580823e-07
"V320",1.31220336407502e-07
"V321",3.56152059482399e-08
"V322",1.84036252109361e-07
"V323",2.54699420820567e-07
"V324",2.85215583230724e-07
"V325",4.99738381196551e-07
"V326",1.7414521591008e-07
"V327",3.96369592223308e-08
"V328",4.44300037660903e-08
"V329",9.85890715113114e-08
"V330",7.31401485469994e-08
"V331",1.05156044013512e-07
"V332",4.56243350659696e-07
"V333",2.65690150470999e-07
"V334",9.58455991322488e-08
"V335",9.20793121247523e-08
"V336",3.72773407492161e-07
"V337",1.74178280978409e-07
"V338",1.06180623794078e-07
"V339",1.80656615229373e-07
"V340",4.67915033263881e-07
"V341",2.61286006859216e-07
"V342",1.41126814203549e-07
"V343",1.02975417665134e-07
"V344",1.17342758569152e-07
"V345",7.46195624265376e-08
"V346",8.56332319671365e-08
"V347",1.51332266422983e-07
"V348",1.28733033277244e-07
"V349",1.96775669364139e-07
"V350",5.07915578791091e-07
"V351",8.09268191121681e-07
"V352",1.80000085252806e-07
"V353",2.44624263584932e-07
"V354",2.88504397967671e-07
"V355",8.94836713005089e-08
"V356",1.65619238731552e-07
"V357",2.37932498503257e-07
"V358",1.9465538063218e-07
"V359",1.60661233961792e-07
"V360",1.77875620295649e-07
"V361",2.19329301419687e-06
"V362",1.05173090376151e-07
"V363",1.11537022619619e-07
"V364",1.10222790660245e-07
"V365",2.30044563446949e-07
"V366",1.16141440607571e-07
"V367",2.31578094670062e-07
"V368",1.43486328018844e-07
"V369",1.26597448143831e-07
"V370",1.90670255534627e-07
"V371",1.59654484657354e-07
"V372",1.39367784635012e-07
"V373",1.74773554622843e-07
"V374",1.16759778965352e-07
"V375",1.30738073904286e-07
"V376",1.23232610524139e-07
"V377",2.7108562140571e-07
"V378",1.45616864115866e-07
"V379",1.70888310220962e-07
"V380",1.15838191112824e-07
"V381",1.54168109023157e-07
"V382",1.39242143493627e-07
"V383",1.08700570136144e-07
"V384",1.20725207229977e-07
"V385",1.45439033908287e-07
"V386",1.38346666289934e-07
"V387",1.4072322881077e-07
"V388",9.27505028206003e-08
"V389",1.35364817667141e-07
"V390",1.8998830014867e-07
"V391",1.44419139197432e-07
"V392",1.48672095019951e-07
"V393",2.2436343503732e-07
"V394",1.22140399749436e-07
"V395",1.21940931212795e-07
"V396",1.79230147991232e-07
"V397",1.13348682842312e-07
"V398",1.95792380041924e-07
"V399",9.9212810880464e-08
"V400",1.50671656617734e-07
"V401",1.24969000656296e-07
"V402",1.14260436401118e-07
"V403",1.32024662641893e-07
"V404",9.51509439868965e-08
"V405",1.36018674539525e-07
"V406",1.60617465710116e-07
"V407",1.32985005194947e-07
"V408",1.00481251722677e-07
"V409",1.18060269599398e-07
"V410",1.5930549858217e-07
"V411",7.52218697275527e-08
"V412",8.80471085465408e-08
"V413",9.49847962744432e-08
"V414",1.14496675887349e-07
"V415",1.0423051989901e-07
"V416",1.11197520339194e-07
"V417",1.28864189153934e-07
"V418",9.44465764013682e-08
"V419",7.65921245420046e-08
"V420",7.11506701292141e-08
"V421",9.8189728074145e-08
"V422",8.19845551496676e-08
"V423",9.40346368516353e-08
"V424",1.00140542644313e-07
"V425",8.80709906251374e-08
"V426",7.82381772245016e-08
"V427",7.98165305560922e-08
"V428",8.66848325384664e-08
"V429",8.35715125407728e-08
"V430",1.03009371073952e-07
"V431",7.30684342020529e-08
"V432",6.75470270965342e-08
"V433",6.5931729148138e-08
"V434",8.78569727306345e-08
"V435",8.11801273860871e-08
"V436",8.43276731446793e-08
"V437",7.17780804501913e-08
"V438",6.71568019938855e-08
"V439",6.88371822047797e-08
"V440",7.30590373164951e-08
"V441",7.54728805243163e-08
"V442",7.77578003224602e-08
"V443",6.82567607540049e-08
"V444",6.541105522723e-08
"V445",6.27390502233553e-08
"V446",6.27777353320936e-08
"V447",6.83324677590788e-08
"V448",6.17257576232128e-08
"V449",7.16250975689949e-08
"V450",6.42063249270748e-08
"V451",6.77020480074468e-08
"V452",6.61560405641168e-08
"V453",5.77935516341581e-08
"V454",6.09190141396681e-08
"V455",5.92199746577554e-08
"V456",6.35163758093457e-08
"V457",5.89408616681978e-08
"V458",6.04457261111318e-08
"V459",5.71076893312464e-08
"V460",6.18063515373723e-08
"V461",5.5554952435336e-08
"V462",5.64576468883201e-08
"V463",5.57802855120824e-08
"V464",5.61437496543075e-08
"V465",5.29520552497897e-08
"V466",4.94002684043078e-08
"V467",5.70554299390552e-08
"V468",5.18512589552789e-08
"V469",5.00252666198066e-08
"V470",5.29741192975455e-08
"V471",5.10792327571729e-08
"V472",5.19250971360608e-08
"V473",5.01097439325554e-08
"V474",5.21114693201409e-08
"V475",5.07150154122584e-08
"V476",4.68469428097088e-08
"V477",5.01674648298449e-08
"V478",4.74474919742278e-08
"V479",4.74541396469104e-08
"V480",4.8369693306621e-08
"V481",4.83935456042673e-08
"V482",5.00937456778176e-08
"V483",4.45906076960429e-08
"V484",4.71530651762675e-08
"V485",4.67132633011314e-08
"V486",4.75932212451433e-08
"V487",4.58154299818476e-08
"V488",4.69653635901889e-08
"V489",4.72050246358357e-08
"V490",4.52247587077767e-08
"V491",4.52311543961273e-08
"V492",4.31263029913252e-08
"V493",4.20172924587254e-08
"V494",4.32817525709995e-08
"V495",4.29207649707885e-08
"V496",4.33676437078174e-08
"V497",4.15616987246693e-08
"V498",4.33735630876665e-08
"V499",4.29036967261091e-08
"V500",4.22487714258264e-08
"V501",4.11993206646709e-08
"V502",4.16970178238591e-08
"V503",3.93435150122808e-08
"V504",4.05961298417823e-08
"V505",4.13248802000886e-08
"V506",4.03408413205274e-08
"V507",3.85249967317661e-08
"V508",4.08615871853187e-08
"V509",3.95143561066994e-08
"V510",3.92636633828453e-08
"V511",3.94425003077951e-08
"V512",3.95838140132407e-08
"V513",3.95860739826048e-08
"V514",3.89936226828333e-08
"V515",3.92802132361129e-08
"V516",4.00159570774211e-08
"V517",3.89904549935426e-08
"V518",3.72861911250908e-08
"V519",3.71131993777738e-08
"V520",3.76120918506161e-08
"V521",3.62821836937357e-08
"V522",3.6760390999374e-08
"V523",3.6482847545112e-08
"V524",3.52666902308544e-08
"V525",3.51687659487211e-08
"V526",3.49435003536433e-08
"V527",3.46581454028131e-08
"V528",3.38338692471957e-08
"V529",3.40422766785483e-08
"V530",3.48808996676723e-08
"V531",3.52365755546216e-08
"V532",3.20413725849301e-08
"V533",3.45971878570489e-08
"V534",3.36426958298802e-08
"V535",3.23163180751713e-08
"V536",3.2341314414597e-08
"V537",3.21427338455827e-08
"V538",3.18015415580801e-08
"V539",3.12514814384938e-08
"V540",3.11178569572143e-08
"V541",3.13390125529991e-08
"V542",3.12661576696073e-08
"V543",3.13319866283827e-08
"V544",3.05759676469462e-08
"V545",3.0639581039408e-08
"V546",2.99792835109124e-08
"V547",3.06654008234983e-08
"V548",3.00689596520209e-08
"V549",2.91569264336804e-08
"V550",2.9552421857298e-08
"V551",3.0052760032694e-08
"V552",2.90113274103439e-08
"V553",2.88605595347331e-08
"V554",2.89266535800836e-08
"V555",2.86954090786848e-08
"V556",2.8781682206621e-08
"V557",2.83864991251264e-08
"V558",2.86460118918534e-08
"V559",2.82321061872549e-08
"V560",2.75247282247862e-08
"V561",2.82938694282122e-08
"V562",2.82701283935146e-08
"V563",2.82096135026027e-08
"V564",2.83490673415698e-08
"V565",2.81821237852388e-08
"V566",2.79651757926423e-08
"V567",2.72640728901723e-08
"V568",2.73378289302891e-08
"V569",2.77932696947174e-08
"V570",2.74186641340459e-08
"V571",2.71733736531411e-08
"V572",2.63713513991188e-08
"V573",2.69783460494416e-08
"V574",2.58959590233493e-08
"V575",2.69308128352047e-08
"V576",2.57805492835489e-08
"V577",2.5894995185161e-08
"V578",2.6305798439815e-08
"V579",2.53919439661947e-08
"V580",2.5584326637732e-08
"V581",2.51910868010313e-08
"V582",2.46121038976765e-08
"V583",2.48685585985702e-08
"V584",2.43001053166189e-08
"V585",2.42905222076854e-08
"V586",2.37559931570243e-08
"V587",2.35343775616035e-08
"V588",2.33856233817824e-08
"V589",2.30976643841415e-08
"V590",2.31272710510124e-08
"V591",2.26520310433212e-08
"V592",2.23416745322774e-08
"V593",2.23835732582354e-08
"V594",2.19512422577185e-08
"V595",2.13217321153099e-08
"V596",2.14024905476089e-08
"V597",2.14519412647375e-08
"V598",2.047273193766e-08
"V599",2.02631559590982e-08
"V600",2.0390151293298e-08
"V601",1.98992186200933e-08
"V602",1.94020518402831e-08
"V603",1.9482770950464e-08
"V604",1.86795519675391e-08
"V605",1.82483253854705e-08
"V606",1.80227160417771e-08
"V607",1.80861232250775e-08
"V608",1.77351134869114e-08
"V609",1.74322832875037e-08
"V610",1.7115008731723e-08
"V611",1.67006356306652e-08
"V612",1.61263281940458e-08
"V613",1.624142978787e-08
"V614",1.59399838192363e-08
"V615",1.55971146187561e-08
"V616",1.53672783412384e-08
"V617",1.48720471505624e-08
"V618",1.47625864245943e-08
"V619",1.43819636334898e-08
"V620",1.42414858038828e-08
"V621",1.41017471352991e-08
"V622",1.3980704836002e-08
"V623",1.36948092601501e-08
"V624",1.35276391423567e-08
"V625",1.33152724632994e-08
"V626",1.3162406374733e-08
"V627",1.29493995584936e-08
"V628",1.28339255086344e-08
"V629",1.26533125574094e-08
"V630",1.24689554502151e-08
"V631",1.2451672162124e-08
"V632",1.22687891327698e-08
"V633",1.22220985433526e-08
"V634",1.2001483175918e-08
"V635",1.19775428581104e-08
"V636",1.20420602691625e-08
"V637",1.17691098126105e-08
"V638",1.15834108614881e-08
"V639",1.14074873634155e-08
"V640",1.11503307388594e-08
"V641",1.10055740085806e-08
"V642",1.11279266568213e-08
"V643",1.1034789107437e-08
"V644",1.09188483292817e-08
"V645",1.08467313179379e-08
"V646",1.07850257980832e-08
"V647",1.07397862280368e-08
"V648",1.07069589506571e-08
"V649",1.07656503829016e-08
"V650",1.05860758183901e-08
"V651",1.05861000590704e-08
"V652",1.04630322494858e-08
"V653",1.03201327273066e-08
"V654",1.02751040244399e-08
"V655",1.02231454068636e-08
"V656",1.02959744863472e-08
"V657",1.01699119356197e-08
"V658",1.01289224232261e-08
"V659",1.00982655320322e-08
"V660",1.00734586020477e-08
"V661",9.99553553812679e-09
"V662",9.99164979106448e-09
"V663",9.97704695618489e-09
"V664",9.86113306854333e-09
"V665",9.88165380880806e-09
"V666",9.74459069114163e-09
"V667",9.71688652282214e-09
"V668",9.84862109147586e-09
"V669",9.8139753134727e-09
"V670",9.7344376222368e-09
"V671",9.56863719532624e-09
"V672",9.49510247083868e-09
"V673",9.46727110554707e-09
"V674",9.41610940741804e-09
"V675",9.43351809404023e-09
"V676",9.50562448005338e-09
"V677",9.46652365081031e-09
"V678",9.37421639164043e-09
"V679",9.27898156587239e-09
"V680",9.19551765750725e-09
"V681",9.25492383986229e-09
"V682",9.23557150736882e-09
"V683",9.30822347532698e-09
"V684",9.29024318274341e-09
"V685",9.18025085809433e-09
"V686",9.06371431005944e-09
"V687",9.09092524729395e-09
"V688",9.14781719202104e-09
"V689",9.02184751399197e-09
"V690",9.05025510276791e-09
"V691",9.05991374835759e-09
"V692",8.98048872955794e-09
"V693",8.95813034717913e-09
"V694",8.93202169642598e-09
"V695",8.97267840427151e-09
"V696",9.00202171978016e-09
"V697",8.8742235619115e-09
"V698",8.87768669324932e-09
"V699",8.8648030243442e-09
"V700",8.77490615142869e-09
"V701",8.79888860891534e-09
"V702",8.87057029276164e-09
"V703",8.93097507451982e-09
"V704",8.8690121508254e-09
"V705",8.89371796878923e-09
"V706",8.87983609134318e-09
"V707",8.71152024970632e-09
"V708",8.57887863280056e-09
"V709",8.65568329107909e-09
"V710",8.69781609286178e-09
"V711",8.66250539212432e-09
"V712",8.62320860683667e-09
"V713",8.72777917098656e-09
"V714",8.72332081994382e-09
"V715",8.71329765440183e-09
"V716",8.74302764071242e-09
"V717",8.69708721362455e-09
"V718",8.63496980588652e-09
"V719",8.60465912296002e-09
"V720",8.65196886665766e-09
"V721",8.57954611229722e-09
"V722",8.61344898047688e-09
"V723",8.70063440298477e-09
"V724",8.74681146666295e-09
"V725",8.80762895194617e-09
"V726",8.7180538308734e-09
"V727",8.6720697009764e-09
"V728",8.60641498919499e-09
"V729",8.42287516437566e-09
"V730",8.48515199553119e-09
"V731",8.56930544712748e-09
"V732",8.57433097908358e-09
"V733",8.69696983796428e-09
"V734",8.65207545891993e-09
"V735",8.66987807178592e-09
"V736",8.65093479084287e-09
"V737",8.6613112232655e-09
"V738",8.71511685240228e-09
"V739",8.69855413249921e-09
"V740",8.7416995346026e-09
"V741",8.65662644903363e-09
"V742",8.54965170469727e-09
"V743",8.49039740319423e-09
"V744",8.53685533527339e-09
"V745",8.56455674012735e-09
"V746",8.58202788231884e-09
"V747",8.52551193822681e-09
"V748",8.60181161490318e-09
"V749",8.63353015003015e-09
"V750",8.58828979175792e-09
"V751",8.49111565329136e-09
"V752",8.47515969082196e-09
"V753",8.56128706091382e-09
"V754",8.62361303378578e-09
"V755",8.6047514253743e-09
"V756",8.51733340725785e-09
"V757",8.55700904215241e-09
"V758",8.46156840209032e-09
"V759",8.45703986421995e-09
"V760",8.41806425494332e-09
"V761",8.44675844292807e-09
"V762",8.47897657087848e-09
"V763",8.42300300259409e-09
"V764",8.46028747469401e-09
"V765",8.41310393947711e-09
"V766",8.55323384173894e-09
"V767",8.49825440279281e-09
"V768",8.50220122750941e-09
"V769",8.49166075699955e-09
"V770",8.47869185279518e-09
"V771",8.48573686799887e-09
"V772",8.50193926414566e-09
"V773",8.47019015696303e-09
"V774",8.4551087001462e-09
"V775",8.41507769213492e-09
"V776",8.40085813484636e-09
"V777",8.47936697659302e-09
"V778",8.46701579945973e-09
"V779",8.53921456793758e-09
"V780",8.47222812840827e-09
"V781",8.42995696344967e-09
"V782",8.45867991402984e-09
"V783",8.4755471794569e-09
"V784",8.44577542321783e-09
"V785",8.45816223464844e-09
"V786",8.40365920003778e-09
"V787",8.44123565181393e-09
"V788",8.4638666620937e-09
"V789",8.51603987422755e-09
"V790",8.44154019556514e-09
"V791",8.53162763002734e-09
"V792",8.55291788805293e-09
"V793",8.52812425571607e-09
"V794",8.54946478458764e-09
"V795",8.59895954848376e-09
"V796",8.55435563469256e-09
"V797",8.57457526901037e-09
"V798",8.59759599272092e-09
"V799",8.5433013483709e-09
"V800",8.46830832949507e-09
"V801",8.51542051572831e-09
"V802",8.50865210416548e-09
"V803",8.59915845102692e-09
"V804",8.66346508755897e-09
"V805",8.73246496847752e-09
"V806",8.6341598558486e-09
"V807",8.63059499865138e-09
"V808",8.67687113130618e-09
"V809",8.71482822614875e-09
"V810",8.66755284703649e-09
"V811",8.73013349242045e-09
"V812",8.75057803567346e-09
"V813",8.8009225739483e-09
"V814",8.69843920137181e-09
"V815",8.70113117032216e-09
"V816",8.78922448537892e-09
"V817",8.80449058523096e-09
"V818",8.84908110440223e-09
"V819",8.8868707249606e-09
"V820",8.87517515858548e-09
"V821",8.88045495074897e-09
"V822",8.93561315794212e-09
